"CustomerID;""Age"";""Gender"";""LocationType"";""Occupation"";""IncomeGroup"";""MaritalStatus"";""ProductType"";""PremiumAmount"";""CoverageAmount"";""RiskScore"";""ClaimsMade"";""BrowsingTime"";""PreferredDevice"";""PaymentMode"";""CampaignSource"";""ClickedOffer"";""PolicyRenewed"";""Churned"";""DependentsCount"";""AvgMonthlySpending"";""PagesViewed"";""SessionDuration"";""DaysSinceLastVisit"";""RegionTier"";""ReferralUsed"";""TravelDays"";""ChurnRiskScore"""
"11;22;""Female"";""Rural"";""Engineer"";""Upper"";""Single"";""Health Insurance"";11781;1000000;""High"";0;6.9;""Desktop"";""Credit Card"";""Partner Site"";1;0;0;3;12149;18;22.9;27;""Tier 1"";""Yes"";"""";4.3"
"12;49;""Female"";""Semi-Urban"";""Student"";""Lower"";""Single"";""Travel Insurance"";807;200000;""Medium"";0;9.8;""App"";""Debit Card"";""App"";1;1;0;2;2778;8;480.0;3;""Tier 1"";""Yes"";""2.0"";5.3"
"13;53;""Male"";""Rural"";""Student"";""Lower"";""Single"";""Health Insurance"";19256;300000;""High"";0;8.3;""App"";""Credit Card"";""Google Ads"";0;0;0;1;4645;4;14.6;78;""Tier 2"";""No"";"""";5.4"
"14;67;""Female"";""Semi-Urban"";""Housewife"";""Lower"";""Married"";""Health Insurance"";64232;500000;""Medium"";1;7.3;""Desktop"";""UPI"";""Email"";1;1;1;2;10558;2;19.5;50;""Tier 3"";""Yes"";"""";6.3"
"15;37;""Female"";""Urban"";""Housewife"";""Lower"";""Married"";""Life Insurance"";22777;10000000;""High"";2;6.9;""App"";""NetBanking"";""SMS"";0;0;0;3;13126;15;19.1;89;""Tier 1"";""No"";"""";5.8"
"16;71;""Male"";""Urban"";""Engineer"";""Upper"";""Single"";""Life Insurance"";11696;2500000;""Low"";0;6.0;""Mobile"";""NetBanking"";""App"";0;0;0;1;13550;2;15.8;58;""Tier 3"";""Yes"";"""";4.8"
"17;71;""Female"";""Semi-Urban"";""Housewife"";""Lower"";""Married"";""Travel Insurance"";622;50000;""Low"";0;2.6;""Mobile"";""UPI"";""Partner Site"";0;0;1;2;14379;1;120.0;12;""Tier 2"";""Yes"";""5.0"";6.6"
"18;63;""Male"";""Semi-Urban"";""IT Professional"";""Upper"";""Single"";""Pocket Insurance"";538;200000;""High"";1;7.7;""App"";""Debit Card"";""Partner Site"";1;0;0;2;7290;7;10.9;82;""Tier 2"";""No"";"""";4.199999999999999"
"19;60;""Male"";""Rural"";""Retired"";""Middle"";""Married"";""Travel Insurance"";641;200000;""High"";0;11.3;""Desktop"";""NetBanking"";""Email"";1;1;0;2;5785;10;420.0;11;""Tier 1"";""Yes"";""2.0"";5.0"
"20;47;""Female"";""Urban"";""Housewife"";""Lower"";""Married"";""Life Insurance"";6419;1500000;""High"";2;6.1;""Mobile"";""Debit Card"";""Email"";0;0;0;1;9661;13;16.7;86;""Tier 1"";""Yes"";"""";5.8"
"21;29;""Female"";""Rural"";""Housewife"";""Lower"";""Married"";""Travel Insurance"";524;200000;""Medium"";0;6.4;""App"";""Credit Card"";""SMS"";0;1;0;0;12174;7;240.0;84;""Tier 2"";""No"";""14.0"";5.699999999999999"
"22;52;""Female"";""Rural"";""Housewife"";""Lower"";""Married"";""Pocket Insurance"";538;200000;""Medium"";1;14.8;""Desktop"";""NetBanking"";""Google Ads"";0;1;0;3;13918;11;15.7;80;""Tier 2"";""Yes"";"""";5.699999999999999"
"23;20;""Female"";""Semi-Urban"";""Teacher"";""Middle"";""Single"";""Health Insurance"";6715;500000;""High"";0;8.8;""App"";""Debit Card"";""Email"";1;1;0;0;4051;17;15.9;87;""Tier 3"";""No"";"""";4.3"
"24;49;""Female"";""Rural"";""Business Owner"";""Upper"";""Single"";""Life Insurance"";6419;1500000;""High"";2;14.1;""App"";""NetBanking"";""Google Ads"";1;1;0;3;4749;18;10.2;38;""Tier 3"";""No"";"""";5.300000000000001"
"25;68;""Female"";""Rural"";""Teacher"";""Middle"";""Single"";""Pocket Insurance"";538;200000;""Medium"";2;7.7;""Desktop"";""UPI"";""SMS"";1;1;1;2;10594;3;6.2;24;""Tier 2"";""No"";"""";6.2"
"26;37;""Male"";""Semi-Urban"";""Freelancer"";""Middle"";""Married"";""Life Insurance"";6419;1500000;""Medium"";1;13.6;""App"";""Credit Card"";""SMS"";0;1;0;0;11685;1;16.2;39;""Tier 1"";""Yes"";"""";5.6"
"27;65;""Male"";""Rural"";""IT Professional"";""Upper"";""Single"";""Travel Insurance"";979;200000;""Medium"";2;7.5;""App"";""UPI"";""SMS"";0;0;0;0;10812;13;840.0;45;""Tier 3"";""Yes"";""7.0"";5.8"
"28;43;""Female"";""Urban"";""Teacher"";""Middle"";""Single"";""Travel Insurance"";641;200000;""High"";1;3.9;""App"";""Debit Card"";""Email"";0;0;0;2;13773;2;420.0;14;""Tier 3"";""No"";""10.0"";5.8999999999999995"
"29;64;""Male"";""Urban"";""Teacher"";""Middle"";""Single"";""Health Insurance"";51360;1000000;""Medium"";3;10.7;""App"";""Credit Card"";""Partner Site"";0;1;0;3;10536;18;16.0;32;""Tier 1"";""Yes"";"""";5.5"
"30;20;""Male"";""Rural"";""Student"";""Lower"";""Single"";""Pocket Insurance"";303;10000;""Medium"";0;11.4;""Desktop"";""Credit Card"";""SMS"";1;0;0;1;8349;8;9.3;42;""Tier 1"";""Yes"";"""";5.699999999999999"
"31;50;""Male"";""Rural"";""IT Professional"";""Upper"";""Single"";""Life Insurance"";22777;10000000;""High"";1;11.4;""Desktop"";""UPI"";""Partner Site"";0;0;0;3;2491;6;11.7;4;""Tier 3"";""No"";"""";3.9000000000000004"
"32;68;""Female"";""Urban"";""Teacher"";""Middle"";""Single"";""Health Insurance"";53346;300000;""High"";1;5.1;""Desktop"";""NetBanking"";""Email"";1;1;0;3;7755;19;25.1;59;""Tier 1"";""Yes"";"""";4.3"
"33;40;""Female"";""Semi-Urban"";""Student"";""Lower"";""Single"";""Health Insurance"";11407;400000;""High"";4;3.5;""App"";""Debit Card"";""SMS"";0;1;1;0;12377;11;13.7;74;""Tier 3"";""Yes"";"""";6.2"
"34;23;""Female"";""Rural"";""Business Owner"";""Upper"";""Single"";""Pocket Insurance"";567;300000;""Low"";3;12.0;""Desktop"";""UPI"";""Google Ads"";0;0;1;3;3196;17;18.7;49;""Tier 3"";""No"";"""";6.0"
"35;66;""Female"";""Semi-Urban"";""Engineer"";""Upper"";""Married"";""Health Insurance"";72820;750000;""High"";1;9.0;""Mobile"";""Debit Card"";""App"";0;1;0;2;9339;2;8.2;63;""Tier 3"";""Yes"";"""";5.2"
"36;68;""Male"";""Semi-Urban"";""Business Owner"";""Upper"";""Single"";""Travel Insurance"";729;50000;""Low"";2;10.8;""Mobile"";""UPI"";""Partner Site"";0;0;0;0;2572;14;420.0;65;""Tier 1"";""Yes"";""14.0"";5.6"
"37;18;""Male"";""Semi-Urban"";""Freelancer"";""Middle"";""Married"";""Pocket Insurance"";303;10000;""High"";2;5.5;""App"";""UPI"";""SMS"";0;0;1;2;2118;14;25.0;5;""Tier 3"";""No"";"""";6.2"
"38;32;""Male"";""Urban"";""Engineer"";""Upper"";""Single"";""Pocket Insurance"";567;300000;""Medium"";1;14.9;""App"";""NetBanking"";""Google Ads"";1;0;0;0;5647;9;13.7;27;""Tier 2"";""No"";"""";4.199999999999999"
"39;45;""Male"";""Semi-Urban"";""IT Professional"";""Upper"";""Married"";""Life Insurance"";11696;2500000;""Low"";3;5.5;""App"";""UPI"";""Partner Site"";1;1;0;3;8281;4;12.7;33;""Tier 2"";""No"";"""";4.7"
"40;35;""Male"";""Urban"";""IT Professional"";""Upper"";""Single"";""Health Insurance"";9425;300000;""Medium"";1;9.6;""App"";""Debit Card"";""SMS"";0;1;0;3;9977;17;11.8;87;""Tier 1"";""Yes"";"""";3.9"
"41;45;""Female"";""Urban"";""Teacher"";""Middle"";""Single"";""Travel Insurance"";641;200000;""Low"";1;10.7;""App"";""Credit Card"";""App"";1;1;0;2;5029;10;300.0;37;""Tier 3"";""No"";""10.0"";4.6"
"42;34;""Female"";""Semi-Urban"";""Retired"";""Middle"";""Married"";""Health Insurance"";14179;1000000;""Low"";3;9.7;""Desktop"";""NetBanking"";""Google Ads"";1;0;1;3;2226;2;13.2;39;""Tier 2"";""Yes"";"""";6.8"
"43;72;""Female"";""Urban"";""Business Owner"";""Upper"";""Single"";""Travel Insurance"";729;50000;""High"";0;9.9;""App"";""Credit Card"";""Partner Site"";1;0;0;0;6701;1;420.0;18;""Tier 3"";""Yes"";""7.0"";5.699999999999999"
"44;43;""Female"";""Rural"";""Housewife"";""Lower"";""Married"";""Health Insurance"";15117;500000;""High"";1;9.9;""App"";""UPI"";""SMS"";1;0;0;2;9551;16;19.7;12;""Tier 1"";""No"";"""";5.4"
"45;81;""Female"";""Semi-Urban"";""Business Owner"";""Upper"";""Married"";""Life Insurance"";22777;10000000;""High"";0;17.5;""App"";""UPI"";""App"";0;0;0;3;9345;4;19.8;63;""Tier 3"";""No"";"""";3.7"
"46;76;""Female"";""Urban"";""Teacher"";""Middle"";""Married"";""Travel Insurance"";622;50000;""Medium"";3;4.8;""App"";""NetBanking"";""App"";1;0;0;3;13143;12;60.0;59;""Tier 1"";""Yes"";""3.0"";5.8"
"47;40;""Male"";""Semi-Urban"";""Engineer"";""Upper"";""Single"";""Health Insurance"";10446;300000;""Low"";0;10.7;""App"";""Credit Card"";""SMS"";0;1;0;0;11912;4;20.4;69;""Tier 3"";""Yes"";"""";3.9"
"48;39;""Male"";""Urban"";""Freelancer"";""Middle"";""Single"";""Life Insurance"";28999;20000000;""Low"";0;7.6;""App"";""Debit Card"";""SMS"";1;0;0;2;12648;12;14.3;60;""Tier 1"";""Yes"";"""";4.3"
"49;22;""Female"";""Semi-Urban"";""Freelancer"";""Middle"";""Married"";""Pocket Insurance"";303;10000;""Low"";2;12.2;""Desktop"";""UPI"";""Google Ads"";0;0;1;0;12660;2;23.2;75;""Tier 3"";""No"";"""";7.5"
"50;39;""Female"";""Rural"";""Retired"";""Middle"";""Married"";""Pocket Insurance"";538;200000;""Low"";1;2.7;""Mobile"";""Credit Card"";""Google Ads"";1;0;0;0;7946;15;1.2;69;""Tier 2"";""Yes"";"""";5.0"
"51;51;""Female"";""Semi-Urban"";""Freelancer"";""Middle"";""Single"";""Travel Insurance"";687;50000;""High"";0;11.1;""Desktop"";""NetBanking"";""App"";0;0;1;2;11805;2;480.0;84;""Tier 2"";""No"";""5.0"";6.3"
"52;18;""Female"";""Urban"";""IT Professional"";""Upper"";""Married"";""Pocket Insurance"";303;10000;""High"";0;8.2;""App"";""UPI"";""Email"";1;0;0;1;11923;16;15.7;33;""Tier 2"";""Yes"";"""";4.199999999999999"
"53;40;""Male"";""Rural"";""Retired"";""Middle"";""Married"";""Health Insurance"";10446;300000;""Low"";1;9.2;""Mobile"";""Debit Card"";""Partner Site"";1;1;1;2;9356;1;13.1;45;""Tier 2"";""No"";"""";6.0"
"54;48;""Female"";""Semi-Urban"";""Engineer"";""Upper"";""Married"";""Life Insurance"";11696;2500000;""Medium"";0;6.2;""Mobile"";""Debit Card"";""App"";1;0;0;0;13896;19;25.3;46;""Tier 2"";""No"";"""";3.5"
"55;48;""Female"";""Semi-Urban"";""Housewife"";""Lower"";""Married"";""Health Insurance"";18357;500000;""Low"";1;8.3;""Mobile"";""UPI"";""Google Ads"";1;1;0;3;4367;14;7.5;55;""Tier 1"";""Yes"";"""";5.0"
"56;70;""Female"";""Semi-Urban"";""Teacher"";""Middle"";""Married"";""Pocket Insurance"";538;200000;""Medium"";2;7.7;""Mobile"";""UPI"";""Google Ads"";1;1;0;2;2370;11;20.4;18;""Tier 3"";""Yes"";"""";5.8"
"57;38;""Male"";""Urban"";""Business Owner"";""Upper"";""Married"";""Travel Insurance"";708;200000;""Medium"";2;8.1;""Mobile"";""Debit Card"";""Email"";1;0;1;1;10758;2;600.0;35;""Tier 2"";""Yes"";""10.0"";6.8999999999999995"
"58;68;""Male"";""Urban"";""IT Professional"";""Upper"";""Single"";""Life Insurance"";22777;10000000;""Medium"";2;6.8;""App"";""NetBanking"";""Email"";1;1;1;2;3998;2;16.8;37;""Tier 3"";""No"";"""";6.0"
"59;46;""Female"";""Semi-Urban"";""Housewife"";""Lower"";""Married"";""Health Insurance"";22673;1000000;""High"";0;13.4;""Mobile"";""NetBanking"";""App"";0;0;0;0;5981;9;20.0;59;""Tier 2"";""No"";"""";5.0"
"60;47;""Female"";""Rural"";""IT Professional"";""Upper"";""Married"";""Life Insurance"";6419;1500000;""Low"";1;9.7;""Mobile"";""UPI"";""Partner Site"";1;1;0;3;8120;11;12.5;48;""Tier 1"";""No"";"""";3.9000000000000004"
"61;18;""Male"";""Urban"";""Freelancer"";""Middle"";""Married"";""Pocket Insurance"";303;10000;""Low"";1;11.2;""Mobile"";""Credit Card"";""SMS"";1;1;0;0;14796;8;14.8;35;""Tier 2"";""Yes"";"""";5.0"
"62;56;""Female"";""Urban"";""Freelancer"";""Middle"";""Single"";""Travel Insurance"";687;50000;""High"";1;19.8;""Mobile"";""Debit Card"";""SMS"";0;0;0;1;10445;17;840.0;69;""Tier 3"";""Yes"";""3.0"";5.0"
"63;39;""Male"";""Urban"";""Retired"";""Middle"";""Married"";""Health Insurance"";11407;400000;""Low"";1;4.6;""Mobile"";""NetBanking"";""Partner Site"";0;0;0;0;11941;15;15.3;50;""Tier 1"";""No"";"""";4.3"
"64;81;""Male"";""Semi-Urban"";""IT Professional"";""Upper"";""Married"";""Life Insurance"";28999;20000000;""Low"";1;10.1;""App"";""Credit Card"";""Partner Site"";0;1;0;2;11351;12;19.2;24;""Tier 2"";""Yes"";"""";3.5"
"65;81;""Male"";""Urban"";""Business Owner"";""Upper"";""Married"";""Life Insurance"";22777;10000000;""Medium"";1;15.3;""Desktop"";""Credit Card"";""Partner Site"";1;0;0;2;9609;18;17.4;85;""Tier 1"";""No"";"""";3.7"
"66;19;""Male"";""Semi-Urban"";""IT Professional"";""Upper"";""Single"";""Life Insurance"";6419;1500000;""Low"";1;16.4;""App"";""Debit Card"";""Email"";1;1;0;0;10918;13;14.1;40;""Tier 1"";""No"";"""";3.5"
"67;37;""Male"";""Semi-Urban"";""Teacher"";""Middle"";""Married"";""Travel Insurance"";356;50000;""Low"";3;7.4;""App"";""Credit Card"";""Partner Site"";0;1;0;3;9470;15;120.0;23;""Tier 3"";""No"";""2.0"";5.8"
"68;48;""Male"";""Rural"";""Business Owner"";""Upper"";""Married"";""Travel Insurance"";417;50000;""Low"";1;15.2;""Mobile"";""UPI"";""Google Ads"";1;0;0;1;12656;3;180.0;50;""Tier 2"";""Yes"";""2.0"";4.8"
"69;39;""Male"";""Urban"";""Engineer"";""Upper"";""Single"";""Pocket Insurance"";538;200000;""High"";0;13.1;""Desktop"";""Credit Card"";""Google Ads"";0;1;0;0;12068;16;15.4;73;""Tier 3"";""No"";"""";4.199999999999999"
"70;52;""Male"";""Urban"";""Business Owner"";""Upper"";""Married"";""Travel Insurance"";641;200000;""Medium"";2;9.4;""Mobile"";""UPI"";""SMS"";0;1;0;2;3284;7;300.0;56;""Tier 1"";""No"";""7.0"";5.6"
"71;71;""Female"";""Rural"";""IT Professional"";""Upper"";""Married"";""Travel Insurance"";622;200000;""High"";1;15.2;""Desktop"";""UPI"";""App"";1;0;0;3;6063;14;180.0;58;""Tier 1"";""Yes"";""7.0"";4.6"
"72;26;""Female"";""Semi-Urban"";""Housewife"";""Lower"";""Married"";""Pocket Insurance"";538;200000;""High"";1;2.2;""Desktop"";""UPI"";""Partner Site"";1;0;0;2;11316;5;12.2;71;""Tier 3"";""No"";"""";5.3"
"73;34;""Female"";""Semi-Urban"";""Retired"";""Middle"";""Married"";""Travel Insurance"";614;50000;""High"";0;12.7;""Mobile"";""UPI"";""Partner Site"";0;1;0;3;6605;1;840.0;18;""Tier 2"";""Yes"";""7.0"";5.8999999999999995"
"74;18;""Male"";""Rural"";""Freelancer"";""Middle"";""Single"";""Life Insurance"";6419;1500000;""Medium"";1;13.8;""Desktop"";""NetBanking"";""App"";1;1;0;0;3010;15;14.6;53;""Tier 3"";""No"";"""";4.699999999999999"
"75;41;""Female"";""Semi-Urban"";""IT Professional"";""Upper"";""Married"";""Health Insurance"";17092;750000;""High"";0;5.4;""Desktop"";""UPI"";""Partner Site"";1;1;0;0;3591;4;16.7;29;""Tier 1"";""Yes"";"""";3.9"
"76;52;""Male"";""Urban"";""IT Professional"";""Upper"";""Single"";""Health Insurance"";26392;750000;""Medium"";0;12.3;""Desktop"";""Credit Card"";""App"";1;0;0;1;5233;18;20.0;47;""Tier 3"";""No"";"""";3.9"
"77;29;""Female"";""Urban"";""Retired"";""Middle"";""Married"";""Travel Insurance"";524;200000;""Medium"";1;-0.8;""Desktop"";""Credit Card"";""Partner Site"";0;1;0;2;8281;16;240.0;28;""Tier 1"";""Yes"";""3.0"";4.6"
"78;31;""Female"";""Rural"";""Freelancer"";""Middle"";""Single"";""Life Insurance"";11696;2500000;""High"";0;8.9;""Mobile"";""UPI"";""Google Ads"";0;0;0;0;4216;10;10.5;84;""Tier 1"";""Yes"";"""";4.699999999999999"
"79;58;""Female"";""Semi-Urban"";""Teacher"";""Middle"";""Married"";""Health Insurance"";38264;1000000;""Medium"";1;9.4;""App"";""NetBanking"";""Partner Site"";0;0;0;0;13734;9;7.1;18;""Tier 3"";""No"";"""";4.3"
"80;58;""Male"";""Urban"";""Retired"";""Middle"";""Married"";""Travel Insurance"";587;200000;""Low"";0;13.7;""Desktop"";""UPI"";""Google Ads"";1;0;0;2;2812;1;60.0;61;""Tier 1"";""Yes"";""5.0"";5.8999999999999995"
"81;55;""Female"";""Urban"";""Student"";""Lower"";""Single"";""Health Insurance"";21042;400000;""Low"";2;14.4;""Desktop"";""UPI"";""App"";1;0;1;0;6551;15;11.0;29;""Tier 1"";""No"";"""";6.2"
"82;22;""Female"";""Urban"";""Freelancer"";""Middle"";""Married"";""Health Insurance"";9579;500000;""Low"";1;1.0;""Desktop"";""Debit Card"";""Partner Site"";0;1;0;1;7393;14;11.6;63;""Tier 3"";""Yes"";"""";4.699999999999999"
"83;25;""Female"";""Urban"";""Housewife"";""Lower"";""Married"";""Health Insurance"";10810;750000;""High"";2;15.6;""Mobile"";""NetBanking"";""SMS"";0;1;1;0;11593;19;22.0;70;""Tier 1"";""Yes"";"""";6.2"
"84;30;""Female"";""Urban"";""Teacher"";""Middle"";""Married"";""Travel Insurance"";614;50000;""High"";0;7.8;""Mobile"";""UPI"";""App"";1;1;0;3;3225;14;480.0;58;""Tier 3"";""Yes"";""10.0"";4.6"
"85;38;""Female"";""Rural"";""Business Owner"";""Upper"";""Married"";""Travel Insurance"";569;200000;""High"";2;19.8;""Mobile"";""UPI"";""Email"";1;0;1;2;2753;19;420.0;47;""Tier 1"";""Yes"";""14.0"";6.0"
"86;28;""Female"";""Urban"";""Housewife"";""Lower"";""Married"";""Life Insurance"";6419;1500000;""High"";3;18.1;""Desktop"";""UPI"";""App"";1;0;1;2;4497;2;19.8;54;""Tier 1"";""Yes"";"""";7.1"
"87;37;""Female"";""Rural"";""IT Professional"";""Upper"";""Single"";""Travel Insurance"";614;50000;""Medium"";0;10.8;""App"";""UPI"";""App"";1;1;0;1;2759;10;840.0;70;""Tier 1"";""Yes"";""5.0"";4.6"
"88;33;""Female"";""Rural"";""Student"";""Lower"";""Single"";""Travel Insurance"";569;200000;""High"";0;11.2;""App"";""Debit Card"";""Google Ads"";0;0;0;3;3636;7;300.0;16;""Tier 2"";""No"";""14.0"";5.699999999999999"
"89;40;""Male"";""Urban"";""Engineer"";""Upper"";""Married"";""Health Insurance"";11407;400000;""Low"";0;17.6;""Desktop"";""NetBanking"";""Partner Site"";0;1;0;0;10749;13;10.5;37;""Tier 1"";""No"";"""";3.9"
"90;38;""Female"";""Semi-Urban"";""IT Professional"";""Upper"";""Married"";""Pocket Insurance"";538;200000;""Medium"";0;18.1;""App"";""Credit Card"";""Email"";1;1;0;2;14076;4;26.3;12;""Tier 1"";""Yes"";"""";4.199999999999999"
"91;42;""Female"";""Semi-Urban"";""Freelancer"";""Middle"";""Single"";""Life Insurance"";6419;1500000;""High"";0;6.3;""Desktop"";""Debit Card"";""App"";1;1;0;0;2758;16;21.9;16;""Tier 2"";""Yes"";"""";4.3"
"92;46;""Female"";""Rural"";""Housewife"";""Lower"";""Married"";""Pocket Insurance"";538;200000;""High"";1;12.7;""App"";""Credit Card"";""SMS"";0;1;0;3;14760;19;22.7;10;""Tier 1"";""Yes"";"""";5.699999999999999"
"93;19;""Female"";""Rural"";""IT Professional"";""Upper"";""Married"";""Health Insurance"";5916;400000;""High"";0;5.6;""Desktop"";""UPI"";""Email"";1;0;0;1;12352;10;16.3;9;""Tier 3"";""Yes"";"""";4.3"
"94;77;""Male"";""Semi-Urban"";""Teacher"";""Middle"";""Married"";""Travel Insurance"";979;200000;""Medium"";1;13.4;""Desktop"";""UPI"";""Partner Site"";1;0;0;2;5930;3;600.0;51;""Tier 1"";""No"";""3.0"";4.6"
"95;89;""Male"";""Urban"";""Business Owner"";""Upper"";""Married"";""Health Insurance"";61302;300000;""High"";2;9.6;""Desktop"";""Debit Card"";""Partner Site"";0;0;0;1;10826;9;19.0;57;""Tier 1"";""No"";"""";5.3"
"96;54;""Male"";""Rural"";""Business Owner"";""Upper"";""Married"";""Life Insurance"";28999;20000000;""Medium"";2;10.6;""Desktop"";""Debit Card"";""Email"";1;0;0;0;3810;17;12.8;44;""Tier 2"";""Yes"";"""";5.300000000000001"
"97;64;""Female"";""Semi-Urban"";""Housewife"";""Lower"";""Married"";""Travel Insurance"";979;200000;""Medium"";0;1.1;""App"";""UPI"";""SMS"";0;1;0;1;2423;18;600.0;17;""Tier 1"";""Yes"";""14.0"";5.3"
"98;21;""Female"";""Rural"";""Housewife"";""Lower"";""Married"";""Pocket Insurance"";303;10000;""High"";1;11.7;""Mobile"";""Debit Card"";""App"";0;1;0;3;14264;4;23.7;13;""Tier 1"";""No"";"""";5.699999999999999"
"99;19;""Female"";""Rural"";""Business Owner"";""Upper"";""Married"";""Pocket Insurance"";303;10000;""Medium"";0;7.8;""App"";""Debit Card"";""Email"";1;1;0;3;14148;7;11.8;56;""Tier 3"";""No"";"""";4.8"
"100;67;""Female"";""Semi-Urban"";""Freelancer"";""Middle"";""Married"";""Life Insurance"";22777;10000000;""Low"";1;9.3;""Desktop"";""Debit Card"";""SMS"";0;1;0;1;13243;6;13.9;66;""Tier 2"";""Yes"";"""";4.3"
"101;79;""Male"";""Rural"";""Business Owner"";""Upper"";""Married"";""Life Insurance"";22777;10000000;""High"";0;9.6;""Desktop"";""Credit Card"";""Email"";0;1;0;2;14624;13;12.5;3;""Tier 3"";""No"";"""";4.1000000000000005"
"102;55;""Female"";""Urban"";""Teacher"";""Middle"";""Married"";""Travel Insurance"";687;50000;""High"";2;0.5;""App"";""Credit Card"";""SMS"";0;0;0;1;10618;13;600.0;42;""Tier 2"";""No"";""7.0"";5.8"
"103;74;""Female"";""Semi-Urban"";""Teacher"";""Middle"";""Married"";""Life Insurance"";11696;2500000;""Low"";0;6.9;""Desktop"";""Credit Card"";""Google Ads"";0;0;0;1;8525;9;19.5;60;""Tier 3"";""Yes"";"""";3.9"
"104;32;""Female"";""Urban"";""Retired"";""Middle"";""Married"";""Life Insurance"";28999;20000000;""Medium"";1;7.1;""Desktop"";""Credit Card"";""Email"";1;0;0;1;13041;10;18.8;21;""Tier 1"";""No"";"""";3.9"
"105;38;""Male"";""Semi-Urban"";""Freelancer"";""Middle"";""Married"";""Health Insurance"";14395;750000;""Medium"";2;12.1;""App"";""Credit Card"";""Partner Site"";0;0;0;1;6494;15;15.4;11;""Tier 1"";""No"";"""";5.8999999999999995"
"106;20;""Female"";""Urban"";""Business Owner"";""Upper"";""Married"";""Pocket Insurance"";303;10000;""High"";0;14.0;""App"";""Debit Card"";""Google Ads"";1;0;0;3;12986;16;9.9;3;""Tier 3"";""No"";"""";4.3999999999999995"
"107;74;""Male"";""Semi-Urban"";""Business Owner"";""Upper"";""Married"";""Life Insurance"";22777;10000000;""High"";0;16.2;""Desktop"";""Debit Card"";""Google Ads"";0;1;0;0;6763;10;21.9;26;""Tier 3"";""Yes"";"""";3.7"
"108;43;""Female"";""Semi-Urban"";""Housewife"";""Lower"";""Married"";""Life Insurance"";6419;1500000;""High"";0;3.6;""Desktop"";""Credit Card"";""Google Ads"";0;1;0;2;2352;18;8.2;67;""Tier 1"";""No"";"""";4.6"
